,county,median
1467,dewitt,195236
1468,wayne,195194
1469,el paso,195166
1470,shiawassee,194938
1471,barry,194855
1472,east feliciana parish,194850
1473,woodward,194802
1474,yates,194797
1475,genesee,194715
1476,archer,194695
1477,grady,194549
1478,stutsman,194525
1479,turner,194474
1480,dillingham census area,194422
1481,vanderburgh,194404
1482,st. clair,194237
1483,ross,194198
1484,montgomery,194008
1485,macon,194004
1486,shelby,193947
1487,newton,193936
1488,bradford,193920
1489,cheboygan,193873
1490,iowa,193869
1491,hawkins,193859
1492,edgefield,193740
1493,richland,193545
1494,thomas,193402
1495,nemaha,193399
1496,borden,193347
1497,grant,193129
1498,howard,193110
1499,liberty,193092
1500,pulaski,193079
1501,tioga,193052
1502,carter,192993
1503,oneida,192992
1504,grant,192835
1505,florence,192780
1506,marshall,192566
1507,san juan,192478
1508,hopkins,192403
1509,mercer,192367
1510,wyandotte,192232
1511,luzerne,192147
1512,shawano,192113
1513,shawnee,191969
1514,murray,191870
1515,calhoun,191741
1516,clark,191642
1517,clearwater,191615
1518,san juan,191535
1519,otoe,191504
1520,johnson,191482
1521,somerset,191428
1522,ramsey,191345
1523,alger,191343
1524,pierce,191124
1525,jefferson,190899
1526,poweshiek,190761
1527,mason,190570
1528,decatur,190514
1529,gilchrist,190482
1530,orange,190455
1531,nacogdoches,190109
1532,jo daviess,189900
1533,wells,189800
1534,roberts,189704
1535,lincoln parish,189655
1536,wayne,189621
1537,jackson,189611
1538,wabaunsee,189611
1539,st. bernard parish,189588
1540,roseau,189579
1541,harney,189517
1542,crawford,189510
1543,nome census area,189434
1544,athens,189302
1545,boone,189225
1546,rutherford,189203
1547,miller,189096
1548,caddo parish,189074
1549,stone,189021
1550,wayne,188972
1551,forrest,188956
1552,mecklenburg,188948
1553,lafourche parish,188619
1554,auglaize,188549
1555,hillsdale,188547
1556,clinton,188461
1557,clinton,188444
1558,fall river,188432
1559,gray,188352
1560,effingham,188350
1561,boone,188274
1562,stanton,188213
1563,lincoln,188208
1564,st. john the baptist parish,188158
1565,manistee,188147
1566,levy,187802
1567,grundy,187721
1568,clinton,187670
1569,calhoun,187621
1570,sully,187603
1571,bottineau,187371
1572,mcdowell,187362
1573,isabella,187348
1574,huntingdon,187344
1575,montague,187275
1576,shelby,186934
1577,charles mix,186912
1578,forest,186907
1579,cherokee,186789
1580,andrew,186788
1581,dade,186757
1582,colbert,186702
1583,lea,186671
1584,brown,186653
1585,logan,186540
1586,grant,186526
1587,howard,186250
1588,madison,186226
1589,ogle,186205
1590,mercer,186157
1591,dodge,185934
1592,bosque,185926
1593,adams,185899
1594,pottawatomie,185721
1595,jasper,185415
1596,mackinac,185351
1597,dallas,185334
1598,crawford,185190
1599,grainger,185159
1600,florence,184954
1601,sangamon,184874
1602,ector,184837
1603,gasconade,184811
1604,menard,184755
1605,spencer,184745
1606,noble,184617
1607,montgomery,184351
1608,chester,184287
1609,glacier,184171
1610,champaign,184155
1611,gaines,184037
1612,jefferson,183988
1613,houston,183891
1614,calhoun,183884
1615,eureka,183808
1616,freestone,183767
1617,bradford,183764
1618,angelina,183498
1619,matagorda,183498
1620,cleburne,183396
1621,marion,183396
1622,brown,183369
1623,polk,183186
1624,schley,183186
1625,marshall,183044
1626,coos,182985
1627,newaygo,182914
1628,young,182823
1629,murray,182792
1630,schoharie,182710
1631,buchanan,182678
1632,livingston,182674
1633,allegany,182655
1634,bedford,182630
1635,hickman,182551
1636,marion,182529
1637,baxter,182474
1638,wadena,182200
1639,powder river,182183
1640,modoc,182109
1641,delaware,182056
1642,roger mills,182011
1643,rowan,181853
1644,tift,181803
1645,campbell,181600
1646,phelps,181378
1647,okeechobee,181311
1648,adams,181251
1649,natchitoches parish,181218
1650,richland,181101
1651,comanche,181096
1652,kalkaska,181090
1653,jersey,181049
1654,carroll,180967
1655,greenwood,180953
1656,crawford,180912
1657,jones,180880
1658,franklin,180834
1659,divide,180784
1660,hocking,180766
1661,geary,180744
1662,rusk,180696
1663,winnebago,180668
1664,cabell,180511
1665,preble,180496
1666,fulton,180183
1667,washington,180157
1668,greene,180103
1669,lawrence,180024
1670,allen,180021
1671,tazewell,180008
1672,baldwin,180004
1673,gallatin,179867
1674,aleutians east borough,179706
1675,ashland,179636
1676,juneau,179358
1677,pettis,179320
1678,northumberland,179280
1679,york,179226
1680,st. joseph,179226
1681,muscatine,179196
1682,nobles,179019
1683,marshall,178948
1684,ralls,178918
1685,foster,178740
1686,carroll,178698
1687,muskingum,178632
1688,saline,178627
1689,madison,178620
1690,schuyler,178586
1691,grady,178482
1692,barren,178420
1693,nodaway,178249
1694,blount,178127
1695,etowah,177846
1696,kimble,177696
1697,dakota,177486
1698,essex,177372
1699,washington,177363
1700,allamakee,177330
1701,jasper,177206
1702,piatt,177190
1703,buckingham,177187
1704,warren,177160
1705,larue,177126
1706,iberville parish,177093
1707,osage,176856
1708,jackson,176796
1709,wheatland,176788
1710,pearl river,176560
1711,carroll,176398
1712,pointe coupee parish,176388
1713,beckham,176383
1714,marion,176374
1715,bowie,176158
1716,bowman,176015
1717,stephens,175992
1718,union,175974
1719,lawrence,175930
1720,boone,175887
1721,haakon,175723
1722,benton,175570
1723,allen,175514
1724,oceana,175497
1725,jones,175445
1726,montgomery,175386
1727,montgomery,175382
1728,hardin,175326
1729,pontotoc,175232
1730,crittenden,175213
1731,mecosta,174965
1732,clark,174932
1733,sutton,174862
1734,thomas,174810
1735,pendleton,174810
1736,merrick,174796
1737,scotts bluff,174670
1738,clay,174582
1739,henry,174523
1740,mower,174438
1741,pope,174437
1742,sanilac,174299
1743,lowndes,174232
1744,conejos,173935
1745,delta,173615
1746,pike,173409
1747,traill,173403
1748,henry,173360
1749,montgomery,173342
1750,dekalb,173335
1751,douglas,173026
1752,genesee,172872
1753,guthrie,172791
1754,caswell,172775
1755,cortland,172739
1756,hand,172683
1757,buchanan,172677
1758,dyer,172577
1759,san miguel,172514
1760,jackson,172356
1761,ottawa,172348
1762,newton,172279
1763,palo pinto,172164
1764,cocke,172004
1765,kingsbury,171993
1766,aroostook,171944
1767,pershing,171831
1768,richmond,171765
1769,camp,171759
1770,grant,171733
1771,somerset,171668
1772,jackson,171574
1773,butler,171505
1774,shelby,171486
1775,san jacinto,171412
1776,blair,171143
1777,wythe,171113
1778,perry,171100
1779,adair,171017
1780,lucas,170902
1781,lewis,170879
1782,hardin,170715
1783,henderson,170590
1784,sussex,170576
1785,tipton,170489
1786,gibson,170464
1787,giles,170440
1788,suwannee,170349
1789,missaukee,170304
1790,cameron parish,170286
1791,polk,170275
1792,holt,170240
1793,keith,170240
1794,milam,170140
1795,cedar,169986
1796,cuming,169860
1797,clark,169807
1798,lasalle,169754
1799,leon,169735
1800,lyman,169644
1801,cedar,169410
1802,shannon,169410
1803,linn,169174
1804,clayton,169123
1805,petroleum,168978
1806,cherokee,168965
1807,harvey,168927
1808,claiborne,168853
1809,murray,168709
1810,hendry,168618
1811,owen,168550
1812,darke,168464
1813,wayne,168382
1814,ashtabula,168213
1815,freeborn,168077
1816,gage,167835
1817,huron,167711
1818,wyandot,167711
1819,crawford,167615
1820,hopewell city,167549
1821,polk,167523
1822,box butte,167455
1823,iberia parish,167433
1824,hyde,167394
1825,decatur,167275
1826,hinds,167209
1827,curry,167116
1828,taylor,166930
1829,hardy,166918
1830,dawes,166822
1831,wichita,166805
1832,day,166743
1833,mahoning,166708
1834,barnes,166703
1835,martin,166668
1836,clay,166636
1837,bates,166584
1838,mayes,166535
1839,wyoming,166494
1840,lawrence,166441
1841,henry,166330
1842,blaine,166138
1843,burleson,166111
1844,alcona,166043
1845,switzerland,166027
1846,carter,165996
1847,cerro gordo,165890
1848,beauregard parish,165889
1849,piscataquis,165586
1850,fulton,165431
1851,beadle,165362
1852,hutchinson,165362
1853,chickasaw,165268
1854,putnam,165224
1855,dekalb,165144
1856,monroe,165124
1857,keweenaw,165111
1858,harrison,165085
1859,costilla,165077
1860,red willow,165050
1861,schoolcraft,164978
1862,defiance,164949
1863,warren,164920
1864,martin,164896
1865,delaware,164744
1866,garfield,164744
1867,hamilton,164743
1868,lamar,164743
1869,putnam,164724
1870,henderson,164700
1871,wexford,164579
1872,randolph,164533
1873,prairie,164434
1874,steuben,164368
1875,trimble,164352
1876,white,164232
1877,chippewa,164179
1878,iron,164129
1879,early,164093
1880,preston,164006
1881,oswego,163983
1882,scott,163919
1883,owen,163893
1884,marshall,163745
1885,graham,163712
1886,crockett,163529
1887,howard,163529
1888,washington,163513
1889,bryan,163465
1890,san saba,163394
1891,marion,163317
1892,sheridan,163298
1893,russell,163285
1894,lincoln,163282
1895,lewis,163268
1896,wayne,163268
1897,price,163218
1898,ozark,163116
1899,northwest arctic borough,162995
1900,washington,162988
1901,washington,162953
1902,panola,162854
1903,lawrence,162848
1904,gilliam,162709
1905,laclede,162580
1906,jackson,162553
1907,cherokee,162449
1908,delta,162448
1909,marinette,162437
1910,desoto,162416
1911,calhoun,162371
1912,gibson,162265
1913,robertson,162242
1914,clay,162149
1915,grant,162081
1916,osage,162063
1917,clinton,162053
1918,tucker,161963
1919,marion,161912
1920,howell,161776
1921,livingston,161776
1922,sumter,161741
1923,branch,161649
1924,anderson,161505
1925,renville,161480
1926,richland,161252
1927,heard,161227
1928,williamson,161171
1929,langlade,161136
1930,vermilion parish,161016
1931,charlotte,160903
1932,randolph,160705
1933,crawford,160545
1934,union,160514
1935,clark,160388
1936,adams,160336
1937,doddridge,160312
1938,clinton,160294
1939,bennett,160250
1940,stone,160208
1941,vance,160171
1942,rush,160001
1943,grant,159981
1944,pendleton,159958
1945,grayson,159799
1946,marshall,159679
1947,de baca,159678
1948,lawrence,159617
1949,houston,159346
1950,newberry,159318
1951,upson,159250
1952,buena vista city,159094
1953,mcnairy,158971
1954,madison,158964
1955,clark,158891
1956,saginaw,158869
1957,texas,158860
1958,butler,158801
1959,guernsey,158798
1960,clarion,158684
1961,gladwin,158587
1962,live oak,158537
1963,mcduffie,158502
1964,peoria,158463
1965,highland,158421
1966,torrance,158416
1967,fentress,158398
1968,henry,158398
1969,broome,158319
1970,red lake,158280
1971,yellow medicine,158280
1972,baca,158232
1973,edmunds,158178
1974,madison,158132
1975,gonzales,157997
1976,roberts,157902
1977,franklin,157857
1978,noble,157709
1979,roscommon,157655
1980,carter,157581
1981,polk,157456
1982,jefferson davis parish,157451
1983,jackson,157389
1984,wright,157223
1985,henry,157185
1986,ashland,157101
1987,buena vista,157060
1988,limestone,156917
1989,fayette,156915
1990,petersburg city,156888
1991,vigo,156759
1992,butler,156687
1993,sedgwick,156622
1994,clay,156579
1995,love,156558
1996,sandusky,156538
1997,lanier,156505
1998,cherry,156443
1999,woods,156430
2000,johnson,156365
2001,union,156319
2002,warren,156283
2003,navarro,156243
2004,kanawha,156174
2005,todd,156101
2006,ransom,156029
2007,haywood,155821
2008,clarke,155817
2009,dawson,155810
2010,meriwether,155677
2011,moore,155568
2012,halifax,155475
2013,rusk,155409
2014,crawford,155391
2015,henry,155321
2016,st. landry parish,155313
2017,jackson,155298
2018,chippewa,155099
2019,upshur,155004
2020,scott,155001
2021,mcdonald,154951
2022,mitchell,154946
2023,trumbull,154836
2024,davis,154822
2025,golden valley,154778
2026,clarendon,154644
2027,hill,154624
2028,wayne,154488
2029,cleburne,154333
2030,menominee,154326
2031,laurel,154252
2032,fulton,154232
2033,sabine,154219
2034,pierce,154212
2035,acadia parish,154005
2036,potter,153895
2037,conway,153884
2038,montgomery,153884
2039,muskogee,153872
2040,brown,153814
2041,dickey,153758
2042,val verde,153679
2043,greene,153598
2044,pocahontas,153588
2045,armstrong,153547
2046,patrick,153536
2047,houghton,153527
2048,atascosa,153471
2049,mccormick,153309
2050,bland,153278
2051,van buren,153243
2052,evans,153162
2053,graves,153063
2054,o'brien,152832
2055,greensville,152632
2056,pecos,152600
2057,pittsburg,152465
2058,redwood,152300
2059,lee,152230
2060,greenbrier,152055
2061,starke,152053
2062,sherman,152036
2063,huron,151929
2064,perry,151924
2065,carroll,151727
2066,wibaux,151654
2067,cook,151640
2068,perkins,151633
2069,presque isle,151530
2070,laurens,151502
2071,lincoln,151346
2072,alleghany,151339
2073,chilton,151298
2074,jackson,151286
2075,gallia,151266
2076,indiana,151240
2077,rock island,151199
2078,jackson,151165
2079,st. clair,151063
2080,stephens,151058
2081,karnes,150981
2082,daviess,150929
2083,saline,150929
2084,meade,150928
2085,wabash,150899
2086,callahan,150830
2087,montgomery,150815
2088,decatur,150808
2089,calhoun,150775
2090,dickinson,150731
2091,lunenburg,150693
2092,otero,150680
2093,perry,150631
2094,clarke,150623
2095,sargent,150578
2096,scotland,150527
2097,montmorency,150464
2098,arkansas,150459
2099,grundy,150378
2100,colfax,150320
2101,cherokee,150221
2102,scott,150129
2103,bladen,150116
2104,fayette,150052
2105,de soto parish,150016
2106,henry,150004
2107,texas,149991
2108,grant,149960
2109,walker,149880
2110,harlan,149861
2111,newton,149826
2112,schuylkill,149751
2113,tuscola,149665
2114,dale,149564
2115,morgan,149376
2116,perry,149376
2117,sanborn,149337
2118,coffee,149288
2119,vernon parish,149252
2120,raleigh,149105
2121,jennings,149104
2122,hopkins,149101
2123,sheridan,149081
2124,cottonwood,148992
2125,des moines,148977
2126,clay,148975
2127,vernon,148920
2128,russell,148837
2129,tripp,148784
2130,brunswick,148754
2131,calhoun,148713
2132,pike,148630
2133,lincoln,148610
2134,jefferson,148604
2135,coffey,148589
2136,jones,148558
2137,seneca,148556
2138,lipscomb,148552
2139,adams,148504
2140,mclean,148454
2141,caldwell,148449
2142,saluda,148405
2143,crockett,148373
2144,ohio,148278
2145,covington,148239
2146,tallapoosa,148239
2147,grayson,148237
2148,mifflin,148139
2149,miller,148118
2150,marshall,148116
2151,valley,148089
2152,alpena,148068
2153,tunica,147878
2154,liberty,147847
2155,washington,147841
2156,marion,147808
2157,mcintosh,147732
2158,kearny,147727
2159,lafayette,147703
2160,chester,147700
2161,yell,147692
2162,saline,147583
2163,mahaska,147485
2164,lyon,147481
2165,bleckley,147351
2166,ochiltree,147338
2167,sierra,147321
2168,washington,147223
2169,koochiching,147210
2170,dekalb,147179
2171,aurora,147126
2172,columbiana,147123
2173,bay,147063
2174,dade,147045
2175,roosevelt,146968
2176,obion,146941
2177,tyler,146933
2178,la paz,146881
2179,maverick,146798
2180,miller,146798
2181,dent,146777
2182,pulaski,146668
2183,bond,146664
2184,chemung,146581
2185,mahnomen,146574
2186,tama,146490
2187,scott,146368
2188,greenup,146347
2189,custer,146317
2190,sioux,146317
2191,union,146296
2192,mineral,146288
2193,louisa,146242
2194,casey,146196
2195,whitley,146196
2196,renville,146192
2197,fremont,146117
2198,adair,146064
2199,logan,145932
2200,stoddard,145840
2201,geneva,145835
2202,hardee,145828
2203,johnson,145793
2204,dickinson,145757
2205,swift,145683
2206,prowers,145482
2207,monroe,145449
2208,osceola,145405
2209,huntington,145258
2210,harrison,145213
2211,lake and peninsula borough,145162
2212,potter,145161
2213,pulaski,145138
2214,monroe,144989
2215,douglas,144916
2216,columbus,144876
2217,sampson,144876
2218,fairfield,144849
2219,anderson,144773
2220,chariton,144634
2221,jerauld,144363
2222,irion,144321
2223,garfield,144292
2224,craig,144279
2225,otero,144274
2226,major,144151
2227,hardin,143860
2228,jasper,143830
2229,carroll,143819
2230,belmont,143675
2231,comanche,143560
2232,parmer,143560
2233,burt,143533
2234,berrien,143477
2235,chenango,143374
2236,escambia,143337
2237,tioga,143174
2238,cumberland,143158
2239,crane,143155
2240,somerset,143052
2241,perry,143043
2242,monroe,143008
2243,ogemaw,143008
2244,pontotoc,142988
2245,weakley,142931
2246,pipestone,142884
2247,coshocton,142855
2248,fountain,142822
2249,douglas,142812
2250,pierce,142786
2251,johnson,142686
2252,baraga,142608
2253,noble,142479
2254,clearfield,142431
2255,polk,142422
2256,delaware,142373
2257,bollinger,142259
2258,grant parish,142253
2259,logan,142014
2260,franklin,142013
2261,toombs,141955
2262,seneca,141851
2263,blaine,141849
2264,pike,141796
2265,anson,141786
2266,howard,141763
2267,chambers,141748
2268,cherokee,141691
2269,kiowa,141590
2270,taylor,141556
2271,oldham,141536
2272,howard,141516
2273,humboldt,141516
2274,st. martin parish,141486
2275,gadsden,141408
2276,titus,141401
2277,hyde,141324
2278,cameron,141243
2279,carroll,141212
2280,lewis,141202
2281,roosevelt,141083
2282,hancock,141069
2283,lake,141069
2284,hidalgo,141038
2285,van wert,140972
2286,breckinridge,140913
2287,spink,140910
2288,macon,140885
2289,tyrrell,140769
2290,gratiot,140744
2291,kittson,140721
2292,liberty,140720
2293,carter,140649
2294,chaves,140483
2295,van buren,140446
2296,cass,140397
2297,kossuth,140397
2298,sequoyah,140358
2299,hancock,140352
2300,alcorn,140292
2301,logan,140182
2302,columbia,140051
2303,williams,139968
2304,worth,139899
2305,jackson,139843
2306,gentry,139813
2307,perkins,139804
2308,chattahoochee,139744
2309,dundy,139736
2310,frontier,139736
2311,clay,139725
2312,smyth,139708
2313,oscoda,139679
2314,reagan,139647
2315,grant,139617
2316,adair,139526
2317,henry,139488
2318,garvin,139418
2319,pickens,139231
2320,walworth,139114
2321,winston,139098
2322,abbeville,139020
2323,mercer,139007
2324,hansford,138838
2325,ward,138838
2326,potter,138699
2327,glascock,138635
2328,arenac,138614
2329,orleans,138549
2330,monroe,138536
2331,mcpherson,138470
2332,orange,138463
2333,ringgold,138407
2334,atchison,138371
2335,warren,138220
2336,jackson,138147
2337,webster,137910
2338,palo alto,137785
2339,assumption parish,137607
2340,dallam,137488
2341,monroe,137376
2342,lauderdale,137345
2343,franklin,137334
2344,screven,137251
2345,talbot,137251
2346,pike,137135
2347,powell,137083
2348,haskell,137017
2349,talladega,136979
2350,livingston,136971
2351,randolph,136955
2352,knox,136924
2353,kiowa,136894
2354,drew,136889
2355,clark,136733
2356,uvalde,136679
2357,norman,136650
2358,benton,136476
2359,johnson,136445
2360,loup,136445
2361,pope,136375
2362,randolph,136375
2363,oregon,136331
2364,jones,136249
2365,jefferson,136235
2366,colleton,136215
2367,hardeman,136200
2368,washington,136144
2369,lac qui parle,136141
2370,smith,136126
2371,lawrence,135929
2372,stevens,135909
2373,jack,135869
2374,fayette,135796
2375,union,135796
2376,childress,135734
2377,mchenry,135702
2378,boyd,135686
2379,frio,135599
2380,harding,135522
2381,red river,135464
2382,herkimer,135401
2383,big stone,135377
2384,scioto,135323
2385,wayne,135260
2386,lamar,135256
2387,paulding,135198
2388,watonwan,135123
2389,pawnee,135111
2390,jefferson,135111
2391,washington parish,135111
2392,emporia city,135055
2393,logan,135047
2394,socorro,134964
2395,floyd,134801
2396,darlington,134792
2397,hot spring,134781
2398,lauderdale,134779
2399,seward,134678
2400,crisp,134622
2401,jackson,134558
2402,jackson,134349
2403,chase,134062
2404,ford,134062
2405,colquitt,133792
2406,searcy,133727
2407,yazoo,133676
2408,burke,133658
2409,greene,133587
2410,barton,133519
2411,allen parish,133448
2412,iosco,133421
2413,kinney,133306
2414,iroquois,133157
2415,hockley,133036
2416,marshall,132936
2417,le flore,132935
2418,logan,132918
2419,chautauqua,132743
2420,bibb,132725
2421,elk,132630
2422,parke,132565
2423,marion,132496
2424,atoka,132384
2425,charlton,132270
2426,kleberg,132226
2427,reeves,132091
2428,benton,132046
2429,holt,132046
2430,dodge,131994
2431,independence,131882
2432,morris,131821
2433,muhlenberg,131801
2434,dougherty,131688
2435,st. lawrence,131548
2436,brooks,131499
2437,macon,131493
2438,tazewell,131436
2439,reynolds,131376
2440,trego,131354
2441,hamilton,131319
2442,warren,131141
2443,morgan,131130
2444,reno,131108
2445,marshall,131032
2446,candler,131025
2447,st. mary parish,130952
2448,de witt,130892
2449,lake,130891
2450,seminole,130887
2451,wayne,130876
2452,cass,130742
2453,russell,130739
2454,whiteside,130653
2455,choctaw,130593
2456,richmond,130573
2457,union,130534
2458,grenada,130490
2459,clay,130413
2460,greenlee,130404
2461,tippah,130368
2462,carson,130367
2463,fayette,130355
2464,sherman,130116
2465,faulk,129996
2466,hart,129952
2467,morgan,129926
2468,osceola,129827
2469,lenoir,129723
2470,hancock,129609
2471,bureau,129580
2472,tattnall,129503
2473,sac,129454
2474,duplin,129440
2475,montgomery,129365
2476,winnebago,129329
2477,galax city,129239
2478,bracken,129162
2479,tishomingo,129142
2480,cheyenne,129104
2481,moultrie,128865
2482,fillmore,128850
2483,cumberland,128627
2484,sherman,128583
2485,audrain,128564
2486,jefferson,128471
2487,edmonson,128459
2488,madison,128375
2489,richland parish,128338
2490,mason,128226
2491,cattaraugus,128226
2492,crittenden,128103
2493,scurry,128044
2494,martin,128024
2495,marshall,128004
2496,macoupin,127930
2497,terrell,127909
2498,golden valley,127866
2499,lee,127837
2500,gove,127784
2501,marion,127784
2502,guadalupe,127766
2503,morrill,127711
2504,bon homme,127648
2505,bethel census area,127578
2506,harrison,127540
2507,mccurtain,127523
2508,henry,127430
2509,cavalier,127412
2510,wayne,127327
2511,shelby,127315
2512,pratt,127292
2513,elbert,127289
2514,mora,127286
2515,lynn,127234
2516,edgecombe,127229
2517,randolph,127139
2518,coosa,127043
2519,nemaha,126952
2520,okmulgee,126947
2521,washington,126944
2522,livingston,126914
2523,halifax,126891
2524,scotland,126891
2525,dixon,126886
2526,mississippi,126744
2527,hertford,126608
2528,brown,126600
2529,ripley,126555
2530,sumner,126536
2531,clare,126497
2532,roane,126457
2533,fleming,126254
2534,lewis,126153
2535,russell,126138
2536,gregory,126128
2537,knox,125990
2538,haskell,125988
2539,meigs,125909
2540,crawford,125847
2541,bailey,125750
2542,bee,125750
2543,barbour,125749
2544,walthall,125712
2545,avoyelles parish,125605
2546,nowata,125604
2547,lincoln,125589
2548,miami,125514
2549,hamilton,125490
2550,grundy,125484
2551,robertson,125462
2552,bolivar,125221
2553,ohio,125198
2554,robeson,125191
2555,knox,125053
2556,monroe,124976
2557,marshall,124953
2558,carroll,124814
2559,iron,124814
2560,trinity,124805
2561,lasalle parish,124654
2562,winston,124486
2563,kay,124453
2564,baker,124453
2565,orangeburg,124330
2566,norton city,124328
2567,faribault,124308
2568,jefferson,124227
2569,sevier,124109
2570,venango,123945
2571,brooke,123911
2572,butler,123864
2573,stephenson,123858
2574,hancock,123858
2575,jeff davis,123831
2576,dewey,123814
2577,northampton,123775
2578,crawford,123774
2579,deaf smith,123726
2580,vinton,123649
2581,cambria,123647
2582,caldwell,123613
2583,greene,123485
2584,monona,123485
2585,doniphan,123409
2586,kidder,123324
2587,kent,123321
2588,beaver,123302
2589,summers,123272
2590,carroll,123261
2591,clay,123261
2592,butler,123217
2593,jay,123206
2594,coles,123024
2595,lawrence,123016
2596,jefferson,122862
2597,mitchell,122862
2598,mercer,122800
2599,barton,122737
2600,holmes,122605
2601,cass,122565
2602,crawford,122565
2603,lamoure,122529
2604,hempstead,122528
2605,wise,122519
2606,calhoun,122328
2607,linn,122270
2608,bacon,122032
2609,dixie,122028
2610,buffalo,121984
2611,clark,121832
2612,jefferson,121832
2613,washington,121792
2614,itawamba,121791
2615,crawford,121506
2616,keokuk,121495
2617,lawrence,121368
2618,ware,121340
2619,ellsworth,121259
2620,van buren,121246
2621,schuyler,121116
2622,greeley,121013
2623,hardin,120873
2624,ellis,120872
2625,pike,120811
2626,taylor,120787
2627,marion,120710
2628,prentiss,120566
2629,rawlins,120521
2630,adair,120488
2631,mcmullen,120488
2632,schleicher,120488
2633,hettinger,120372
2634,rockcastle,120179
2635,carroll,120044
2636,union,119783
2637,sheridan,119690
2638,jasper,119686
2639,page,119630
2640,cotton,119465
2641,okfuskee,119465
2642,grant,119358
2643,bent,119312
2644,ottawa,119209
2645,greene,119190
2646,ben hill,119126
2647,barnwell,119122
2648,hickory,119056
2649,lucas,118883
2650,hooker,118851
2651,jim hogg,118734
2652,brantley,118569
2653,barbour,118565
2654,marengo,118565
2655,wells,118441
2656,griggs,118328
2657,ida,118137
2658,wetzel,118081
2659,ballard,118066
2660,marion,118035
2661,irwin,118019
2662,ford,117971
2663,traverse,117946
2664,winkler,117924
2665,luce,117842
2666,shelby,117654
2667,union,117521
2668,towner,117419
2669,burke,117414
2670,schuyler,117315
2671,sabine parish,117168
2672,franklin,117142
2673,eddy,117078
2674,atchison,117047
2675,mcculloch,116575
2676,castro,116440
2677,hutchinson,116305
2678,upton,116305
2679,forest,116129
2680,fulton,116072
2681,adams,116056
2682,latimer,116011
2683,pembina,115943
2684,izard,115809
2685,kingman,115720
2686,bath,115689
2687,nicholas,115689
2688,taylor,115682
2689,hancock,115529
2690,concho,115496
2691,wheeler,115361
2692,bamberg,115249
2693,marion,115174
2694,appling,115114
2695,evangeline parish,115029
2696,runnels,114956
2697,terry,114956
2698,crawford,114918
2699,mitchell,114858
2700,sunflower,114807
2701,wheeler,114674
2702,christian,114560
2703,ritchie,114542
2704,pike,114491
2705,washita,114349
2706,menominee,114279
2707,miner,114247
2708,little river,114227
2709,lee,114180
2710,appanoose,114158
2711,new madrid,114101
2712,worth,114082
2713,pushmataha,113965
2714,fayette,113964
2715,glades,113951
2716,refugio,113876
2717,pike,113840
2718,crenshaw,113663
2719,brown,113627
2720,putnam,113565
2721,colfax,113535
2722,adams,113459
2723,boyd,113409
2724,fayette,113334
2725,hidalgo,113250
2726,tyler,113245
2727,pemiscot,113163
2728,emmet,113163
2729,morris,113134
2730,dallas,113133
2731,hickman,113048
2732,wright,113039
2733,fayette,112891
2734,cowley,112888
2735,nelson,112763
2736,sullivan,112689
2737,hamilton,112642
2738,coleman,112527
2739,terrell,112514
2740,johnston,112430
2741,cross,112383
2742,cheyenne,112273
2743,hale,112257
2744,randolph,112180
2745,wayne,112176
2746,walsh,112082
2747,massac,112057
2748,la salle,111987
2749,chesterfield,111910
2750,iron,111850
2751,caddo,111791
2752,rock,111763
2753,desha,111724
2754,dawson,111718
2755,stephens,111718
2756,zapata,111718
2757,clay,111699
2758,hamilton,111699
2759,macon,111676
2760,green,111595
2761,eastland,111583
2762,menard,111448
2763,wapello,111422
2764,lee,111404
2765,dillon,111376
2766,panola,111254
2767,hancock,111222
2768,coke,111178
2769,harper,111023
2770,dooly,110963
2771,menifee,110935
2772,gray,110773
2773,mercer,110753
2774,taylor,110676
2775,mississippi,110619
2776,bertie,110605
2777,hampton,110575
2778,calhoun,110552
2779,nicholas,110532
2780,harrison,110485
2781,adams,110427
2782,wilkes,110410
2783,jones,110379
2784,audubon,110303
2785,montgomery,110273
2786,starr,110233
2787,jackson parish,110157
2788,newton,110099
2789,montgomery,110030
2790,jasper,109906
2791,dunklin,109815
2792,slope,109811
2793,estill,109746
2794,randolph,109718
2795,conecuh,109689
2796,montgomery,109681
2797,marion,109640
2798,decatur,109308
2799,alfalfa,109232
2800,nance,109105
2801,scott,109076
2802,attala,109048
2803,hale,108929
2804,hayes,108852
2805,antelope,108725
2806,union,108705
2807,logan,108644
2808,falls,108479
2809,scott,108299
2810,fulton,108242
2811,deuel,108219
2812,keya paha,108219
2813,webster,108190
2814,winn parish,108018
2815,metcalfe,107897
2816,steele,107880
2817,ziebach,107754
2818,emmons,107539
2819,allegany,107497
2820,bourbon,107348
2821,washington,107348
2822,richland,107288
2823,simpson,107245
2824,blaine,107207
2825,neosho,106979
2826,carlisle,106973
2827,emanuel,106674
2828,union parish,106582
2829,wilkinson,106536
2830,luna,106532
2831,jones,106484
2832,newton,106475
2833,garza,106456
2834,sterling,106456
2835,wichita,106364
2836,knox,106333
2837,jackson,106180
2838,turner,106121
2839,wallace,106117
2840,vermillion,106103
2841,mcdonough,106096
2842,sullivan,106065
2843,mccreary,106048
2844,morehouse parish,105998
2845,jenkins,105982
2846,dickenson,105976
2847,neshoba,105862
2848,choctaw,105715
2849,johnson,105706
2850,prairie,105664
2851,nolan,105646
2852,swisher,105646
2853,pike,105619
2854,amite,105617
