Blaine County, Idaho $ 718,598 $ 4,033 $ 2,711
El Dorado County, California $ 718,367 $ 4,031 $ 2,990
Richmond County, New York $ 714,674 $ 4,011 $ 2,897
Deschutes County, Oregon $ 713,234 $ 4,003 $ 2,850
Ouray County, Colorado $ 708,622 $ 3,977 $ 2,626
Westchester County, New York $ 699,802 $ 3,927 $ 2,824
Fairfax city, Virginia $ 698,917 $ 3,922 $ 2,926
Jefferson County, Colorado $ 689,672 $ 3,870 $ 2,572
Barnstable County, Massachusetts $ 688,252 $ 3,862 $ 2,650
Nevada County, California $ 687,450 $ 3,858 $ 2,486
Wasatch County, Utah $ 682,267 $ 3,829 $ 2,639
Denver County, Colorado $ 681,243 $ 3,823 $ 2,472
Elbert County, Colorado $ 677,847 $ 3,804 $ 2,650
Montgomery County, Maryland $ 670,576 $ 3,763 $ 2,478
Collier County, Florida $ 657,623 $ 3,691 $ 2,189
Hawaii County, Hawaii $ 654,312 $ 3,672 $ 2,177
Essex County, Massachusetts $ 650,959 $ 3,653 $ 2,398
Whatcom County, Washington $ 650,325 $ 3,650 $ 2,381
Newport County, Rhode Island $ 647,849 $ 3,636 $ 1,875
Bergen County, New Jersey $ 647,042 $ 3,631 $ 2,402
San Miguel County, Colorado $ 643,531 $ 3,611 $ 2,424
Larimer County, Colorado $ 639,709 $ 3,590 $ 2,406
Clackamas County, Oregon $ 639,349 $ 3,588 $ 2,412
Howard County, Maryland $ 636,214 $ 3,570 $ 2,411
Solano County, California $ 633,442 $ 3,555 $ 2,536
Flathead County, Montana $ 631,323 $ 3,543 $ 1,872
Yolo County, California $ 630,856 $ 3,540 $ 3,163
Forsyth County, Georgia $ 616,048 $ 3,457 $ 2,189
Island County, Washington $ 610,912 $ 3,428 $ 2,671
Travis County, Texas $ 609,625 $ 3,421 $ 2,345
Utah County, Utah $ 609,398 $ 3,420 $ 2,257
Riverside County, California $ 609,299 $ 3,419 $ 2,283
Kootenai County, Idaho $ 607,121 $ 3,407 $ 2,273
Arapahoe County, Colorado $ 605,759 $ 3,399 $ 2,338
Washington County, Oregon $ 598,213 $ 3,357 $ 2,349
Monmouth County, New Jersey $ 596,643 $ 3,348 $ 2,171
Morris County, New Jersey $ 595,227 $ 3,340 $ 2,243
Morgan County, Utah $ 594,842 $ 3,338 $ 2,465
Washington County, Utah $ 594,619 $ 3,337 $ 2,215
Rockland County, New York $ 593,692 $ 3,332 $ 2,389
Clear Creek County, Colorado $ 593,053 $ 3,328 $ 2,147
Hood River County, Oregon $ 589,653 $ 3,309 $ 2,297
Salt Lake County, Utah $ 588,713 $ 3,304 $ 2,246
Gunnison County, Colorado $ 584,882 $ 3,282 $ 2,062
Multnomah County, Oregon $ 584,421 $ 3,280 $ 2,416
Fairfield County, Connecticut $ 579,772 $ 3,254 $ 2,199
Skagit County, Washington $ 579,246 $ 3,251 $ 2,669
Plymouth County, Massachusetts $ 578,535 $ 3,247 $ 2,169
La Plata County, Colorado $ 577,366 $ 3,240 $ 2,246
Suffolk County, New York $ 576,224 $ 3,234 $ 2,228
Pierce County, Washington $ 575,639 $ 3,230 $ 2,328
St. Johns County, Florida $ 573,924 $ 3,221 $ 1,964
Ada County, Idaho $ 572,812 $ 3,215 $ 1,999
San Bernardino County, California $ 571,856 $ 3,209 $ 2,169
Davis County, Utah $ 571,515 $ 3,207 $ 2,237
Missoula County, Montana $ 571,297 $ 3,206 $ 1,933
Washoe County, Nevada $ 568,847 $ 3,192 $ 2,098
Benton County, Oregon $ 567,783 $ 3,186 $ 1,784
Kitsap County, Washington $ 565,134 $ 3,171 $ 2,324
Walton County, Florida $ 562,830 $ 3,159 $ 1,271
Washington County, Rhode Island $ 562,521 $ 3,157 $ 2,032
Fauquier County, Virginia $ 562,248 $ 3,155 $ 2,096
Chelan County, Washington $ 560,870 $ 3,148 $ 1,894
Chaffee County, Colorado $ 558,443 $ 3,134 $ 2,092
Charleston County, South Carolina $ 557,579 $ 3,129 $ 1,785
Somerset County, New Jersey $ 555,333 $ 3,116 $ 2,225
Rappahannock County, Virginia $ 554,307 $ 3,111 $ 2,028
San Joaquin County, California $ 553,133 $ 3,104 $ 2,261
Hudson County, New Jersey $ 552,500 $ 3,101 $ 2,177
Chatham County, North Carolina $ 552,370 $ 3,100 $ 1,460
Sacramento County, California $ 550,422 $ 3,089 $ 2,276
Bronx County, New York $ 548,841 $ 3,080 $ 2,603
Teton County, Idaho $ 545,959 $ 3,064 $ 2,119
Douglas County, Nevada $ 544,824 $ 3,057 $ 2,303
Essex County, New Jersey $ 543,648 $ 3,051 $ 2,019
Clark County, Washington $ 543,165 $ 3,048 $ 2,151
Miami-Dade County, Florida $ 541,837 $ 3,041 $ 1,953
Fulton County, Georgia $ 538,765 $ 3,023 $ 1,899
Collin County, Texas $ 538,289 $ 3,021 $ 1,975
Coconino County, Arizona $ 537,155 $ 3,014 $ 1,850
Weld County, Colorado $ 535,802 $ 3,007 $ 1,965
Prince William County, Virginia $ 535,664 $ 3,006 $ 2,225
Union County, New Jersey $ 535,386 $ 3,005 $ 1,901
Adams County, Colorado $ 534,175 $ 2,998 $ 2,097
Hunterdon County, New Jersey $ 533,497 $ 2,994 $ 2,036
Thurston County, Washington $ 533,152 $ 2,992 $ 2,104
Goochland County, Virginia $ 529,495 $ 2,971 $ 1,956
Wake County, North Carolina $ 527,677 $ 2,961 $ 1,887
Cumberland County, Maine $ 526,852 $ 2,957 $ 1,741
Rockingham County, New Hampshire $ 525,046 $ 2,947 $ 1,870
Palm Beach County, Florida $ 524,918 $ 2,946 $ 1,787
Williamson County, Texas $ 520,953 $ 2,924 $ 1,907
Orange County, North Carolina $ 520,802 $ 2,923 $ 1,769
Kendall County, Texas $ 520,664 $ 2,922 $ 2,033
Gilpin County, Colorado $ 517,695 $ 2,905 $ 2,083
Maricopa County, Arizona $ 516,442 $ 2,898 $ 1,921
Cape May County, New Jersey $ 516,102 $ 2,896 $ 1,973
Garfield County, Colorado $ 514,825 $ 2,889 $ 2,028
Cache County, Utah $ 513,377 $ 2,881 $ 2,176
Stafford County, Virginia $ 512,359 $ 2,875 $ 1,894
Sarasota County, Florida $ 508,658 $ 2,855 $ 1,753
Jefferson County, Washington $ 506,106 $ 2,840 $ 2,044
Valley County, Idaho $ 503,614 $ 2,826 $ 1,816
Grand County, Colorado $ 503,014 $ 2,823 $ 1,876
Fayette County, Georgia $ 502,967 $ 2,823 $ 1,799
Anne Arundel County, Maryland $ 502,673 $ 2,821 $ 1,966
Chittenden County, Vermont $ 502,182 $ 2,818 $ 1,473
Bristol County, Massachusetts $ 502,086 $ 2,818 $ 1,835
Mendocino County, California $ 501,398 $ 2,814 $ 2,050
El Paso County, Colorado $ 501,128 $ 2,812 $ 1,989
Broward County, Florida $ 500,480 $ 2,809 $ 1,713
Beaufort County, South Carolina $ 498,922 $ 2,800 $ 1,722
Yamhill County, Oregon $ 498,671 $ 2,798 $ 1,853
Park County, Colorado $ 497,943 $ 2,794 $ 1,977
Cherokee County, Georgia $ 497,140 $ 2,790 $ 1,632
Albemarle County, Virginia $ 495,784 $ 2,782 $ 1,888
Putnam County, New York $ 495,727 $ 2,782 $ 1,984
Chester County, Pennsylvania $ 495,630 $ 2,781 $ 1,954
Martin County, Florida $ 495,401 $ 2,780 $ 1,867
Wilson County, Tennessee $ 493,739 $ 2,771 $ 1,814
Josephine County, Oregon $ 493,169 $ 2,768 $ 1,647
Denton County, Texas $ 492,773 $ 2,765 $ 1,887
Delaware County, Ohio $ 491,302 $ 2,757 $ 1,572
Yavapai County, Arizona $ 490,328 $ 2,752 $ 1,756
Davidson County, Tennessee $ 489,829 $ 2,749 $ 1,699
Comal County, Texas $ 489,281 $ 2,746 $ 1,632
Tooele County, Utah $ 488,765 $ 2,743 $ 1,657
Stanislaus County, California $ 486,386 $ 2,730 $ 1,926
Bristol County, Rhode Island $ 486,304 $ 2,729 $ 1,925
James City County, Virginia $ 484,157 $ 2,717 $ 1,757
Calvert County, Maryland $ 482,145 $ 2,706 $ 1,781
Rockwall County, Texas $ 482,007 $ 2,705 $ 1,363
Clark County, Nevada $ 479,988 $ 2,694 $ 1,867
Archuleta County, Colorado $ 478,320 $ 2,684 $ 1,792
Union County, North Carolina $ 476,751 $ 2,675 $ 1,623
Manatee County, Florida $ 476,592 $ 2,675 $ 1,644
Weber County, Utah $ 475,716 $ 2,670 $ 1,778
Mineral County, Colorado $ 475,636 $ 2,669 $ 1,778
Passaic County, New Jersey $ 475,308 $ 2,667 $ 1,824
Santa Fe County, New Mexico $ 475,281 $ 2,667 $ 1,543
Cobb County, Georgia $ 474,801 $ 2,665 $ 1,699
Clallam County, Washington $ 474,158 $ 2,661 $ 1,698
Mecklenburg County, North Carolina $ 471,823 $ 2,648 $ 1,597
Spokane County, Washington $ 470,279 $ 2,639 $ 1,808
Carroll County, Maryland $ 470,099 $ 2,638 $ 1,764
Hillsborough County, New Hampshire $ 469,216 $ 2,633 $ 1,673
Clarke County, Virginia $ 469,028 $ 2,632 $ 1,825
Mason County, Washington $ 468,444 $ 2,629 $ 1,427
Polk County, Oregon $ 468,413 $ 2,629 $ 1,896
Grand County, Utah $ 468,337 $ 2,628 $ 1,677
Middlesex County, New Jersey $ 468,226 $ 2,628 $ 1,788
Frederick County, Maryland $ 468,091 $ 2,627 $ 1,855
Park County, Montana $ 467,884 $ 2,626 $ 1,663
Carver County, Minnesota $ 467,810 $ 2,625 $ 1,906
Sumter County, Florida $ 466,188 $ 2,616 $ 1,377
Mono County, California $ 466,147 $ 2,616 $ 2,034
New Hanover County, North Carolina $ 465,675 $ 2,613 $ 1,622
Hays County, Texas $ 464,991 $ 2,609 $ 1,890
Buncombe County, North Carolina $ 464,935 $ 2,609 $ 1,711
Worcester County, Massachusetts $ 464,541 $ 2,607 $ 1,761
Lane County, Oregon $ 461,421 $ 2,589 $ 1,861
Sumner County, Tennessee $ 460,358 $ 2,583 $ 1,524
Sitka City and Borough, Alaska $ 458,682 $ 2,574 $ 1,777
Kittitas County, Washington $ 458,314 $ 2,572 $ 1,782
Oconee County, Georgia $ 456,594 $ 2,562 $ 1,645
Seminole County, Florida $ 455,786 $ 2,558 $ 1,515
Madison County, Montana $ 455,530 $ 2,556 $ 1,831
Dare County, North Carolina $ 455,164 $ 2,554 $ 1,621
York County, Virginia $ 454,606 $ 2,551 $ 1,757
Hinsdale County, Colorado $ 454,431 $ 2,550 $ 1,755
Charlottesville city, Virginia $ 453,587 $ 2,545 $ 1,653
Parker County, Texas $ 453,526 $ 2,545 $ 1,449
Bucks County, Pennsylvania $ 453,296 $ 2,544 $ 1,838
Hanover County, Virginia $ 453,289 $ 2,544 $ 1,567
York County, Maine $ 452,824 $ 2,541 $ 1,536
Durham County, North Carolina $ 452,381 $ 2,539 $ 1,515
Washington County, Minnesota $ 452,232 $ 2,538 $ 1,799
Clatsop County, Oregon $ 452,160 $ 2,537 $ 1,727
Alpine County, California $ 451,927 $ 2,536 $ 1,966
Lewis and Clark County, Montana $ 450,134 $ 2,526 $ 1,588
Benton County, Washington $ 449,684 $ 2,524 $ 1,636
Queen Anne's County, Maryland $ 449,665 $ 2,523 $ 1,812
Nassau County, Florida $ 449,647 $ 2,523 $ 1,480
Dutchess County, New York $ 449,362 $ 2,522 $ 1,696
Ravalli County, Montana $ 449,282 $ 2,521 $ 1,678
Fredericksburg city, Virginia $ 447,831 $ 2,513 $ 1,878
Humboldt County, California $ 447,506 $ 2,511 $ 2,027
Poquoson city, Virginia $ 447,250 $ 2,510 $ 1,755
Juneau City and Borough, Alaska $ 446,709 $ 2,507 $ 1,725
Bonneville County, Idaho $ 446,601 $ 2,506 $ 1,729
Orange County, Florida $ 445,503 $ 2,500 $ 1,603
St. Mary's County, Maryland $ 444,416 $ 2,494 $ 1,870
Madera County, California $ 443,842 $ 2,491 $ 1,719
Prince George's County, Maryland $ 443,615 $ 2,490 $ 1,731
San Juan County, Colorado $ 442,889 $ 2,485 $ 1,883
Cowlitz County, Washington $ 442,855 $ 2,485 $ 1,588
Montgomery County, Pennsylvania $ 440,206 $ 2,470 $ 1,721
Lee County, Florida $ 440,056 $ 2,470 $ 1,570
Marion County, Oregon $ 439,919 $ 2,469 $ 1,757
Hamilton County, Indiana $ 439,484 $ 2,466 $ 1,454
Skamania County, Washington $ 439,305 $ 2,465 $ 1,778
Canyon County, Idaho $ 439,226 $ 2,465 $ 1,684
Yuba County, California $ 438,189 $ 2,459 $ 1,843
Gillespie County, Texas $ 438,100 $ 2,459 $ 1,662
Bonner County, Idaho $ 437,475 $ 2,455 $ 1,632
Johnson County, Kansas $ 437,444 $ 2,455 $ 1,517
Hillsborough County, Florida $ 436,723 $ 2,451 $ 1,563
Mesa County, Colorado $ 436,628 $ 2,450 $ 1,534
Linn County, Oregon $ 436,500 $ 2,450 $ 1,870
Twin Falls County, Idaho $ 436,059 $ 2,447 $ 1,303
Waukesha County, Wisconsin $ 435,084 $ 2,442 $ 1,562
Charles County, Maryland $ 434,481 $ 2,438 $ 1,821
Scott County, Minnesota $ 433,562 $ 2,433 $ 1,779
Dane County, Wisconsin $ 432,643 $ 2,428 $ 1,586
Jefferson County, Montana $ 432,100 $ 2,425 $ 1,680
Maury County, Tennessee $ 431,514 $ 2,422 $ 1,281
Frederick County, Virginia $ 431,103 $ 2,419 $ 1,535
Merced County, California $ 430,766 $ 2,417 $ 1,680
Boone County, Indiana $ 430,614 $ 2,417 $ 1,294
Ozaukee County, Wisconsin $ 429,393 $ 2,410 $ 1,462
Sutter County, California $ 429,333 $ 2,409 $ 1,843
Lewis County, Washington $ 429,223 $ 2,409 $ 1,684
Rutherford County, Tennessee $ 428,094 $ 2,402 $ 1,528
Gwinnett County, Georgia $ 426,100 $ 2,391 $ 1,457
Pinellas County, Florida $ 425,085 $ 2,386 $ 1,555
Oldham County, Kentucky $ 424,958 $ 2,385 $ 1,517
Fresno County, California $ 424,915 $ 2,385 $ 1,717
Moore County, North Carolina $ 424,857 $ 2,384 $ 1,210
Culpeper County, Virginia $ 424,163 $ 2,380 $ 1,605
Calaveras County, California $ 423,726 $ 2,378 $ 1,794
Anchorage Municipality, Alaska $ 423,527 $ 2,377 $ 1,642
King George County, Virginia $ 423,259 $ 2,375 $ 1,628
DuPage County, Illinois $ 422,796 $ 2,373 $ 1,619
Jackson County, Georgia $ 421,024 $ 2,363 $ 1,143
Talbot County, Maryland $ 420,475 $ 2,360 $ 1,748
Jackson County, Oregon $ 419,540 $ 2,354 $ 1,927
Franklin County, Washington $ 417,999 $ 2,346 $ 1,569
Amador County, California $ 417,632 $ 2,344 $ 1,738
Manassas city, Virginia $ 417,500 $ 2,343 $ 1,685
Orange County, New York $ 415,612 $ 2,332 $ 1,568
Hennepin County, Minnesota $ 415,606 $ 2,332 $ 1,593
Merrimack County, New Hampshire $ 415,119 $ 2,330 $ 1,513
Teller County, Colorado $ 414,227 $ 2,325 $ 1,693
Butte County, California $ 414,146 $ 2,324 $ 1,691
DeKalb County, Georgia $ 413,474 $ 2,320 $ 1,549
Los Alamos County, New Mexico $ 411,611 $ 2,310 $ 1,587
Kent County, Rhode Island $ 411,241 $ 2,308 $ 1,484
Lake County, Montana $ 410,800 $ 2,305 $ 1,609
Brunswick County, North Carolina $ 410,598 $ 2,304 $ 1,520
Pinal County, Arizona $ 410,326 $ 2,303 $ 1,424
Richmond city, Virginia $ 410,250 $ 2,302 $ 1,586
Tillamook County, Oregon $ 410,090 $ 2,301 $ 1,544
Williamsburg city, Virginia $ 409,844 $ 2,300 $ 1,703
Curry County, Oregon $ 409,824 $ 2,300 $ 1,594
Virginia Beach city, Virginia $ 409,594 $ 2,299 $ 1,670
Spotsylvania County, Virginia $ 409,419 $ 2,298 $ 1,552
Mercer County, New Jersey $ 408,579 $ 2,293 $ 1,780
Charlotte County, Florida $ 407,747 $ 2,288 $ 1,449
Coweta County, Georgia $ 407,646 $ 2,288 $ 1,378
Powhatan County, Virginia $ 406,960 $ 2,284 $ 1,502
Providence County, Rhode Island $ 406,750 $ 2,283 $ 1,510
New Kent County, Virginia $ 406,697 $ 2,282 $ 1,530
Henderson County, North Carolina $ 406,631 $ 2,282 $ 1,386
Aleutians West Census Area, Alaska $ 405,929 $ 2,278 $ 1,539
Chesterfield County, Virginia $ 405,907 $ 2,278 $ 1,505
Klickitat County, Washington $ 405,327 $ 2,275 $ 1,589
Fort Bend County, Texas $ 404,442 $ 2,270 $ 1,492
Leelanau County, Michigan $ 403,724 $ 2,266 $ 1,522
Sublette County, Wyoming $ 403,553 $ 2,265 $ 1,490
Shasta County, California $ 403,179 $ 2,263 $ 1,672
Carson City, Nevada $ 401,346 $ 2,252 $ 1,662
Harford County, Maryland $ 401,345 $ 2,252 $ 1,672
Cabarrus County, North Carolina $ 401,282 $ 2,252 $ 1,377
York County, South Carolina $ 401,001 $ 2,250 $ 1,329
Grand Isle County, Vermont $ 400,975 $ 2,250 $ 1,456
Okaloosa County, Florida $ 400,650 $ 2,248 $ 1,584
Washtenaw County, Michigan $ 400,006 $ 2,245 $ 1,431
Chesapeake city, Virginia $ 399,744 $ 2,243 $ 1,685
Ocean County, New Jersey $ 398,706 $ 2,237 $ 1,498
Tuolumne County, California $ 398,513 $ 2,236 $ 1,659
St. Lucie County, Florida $ 397,522 $ 2,231 $ 1,488
Yellowstone County, Montana $ 397,078 $ 2,228 $ 1,226
Dakota County, Minnesota $ 396,937 $ 2,228 $ 1,512
Osceola County, Florida $ 396,311 $ 2,224 $ 1,343
Crook County, Oregon $ 393,500 $ 2,208 $ 1,480
Brevard County, Florida $ 393,339 $ 2,207 $ 1,441
Douglas County, Washington $ 393,333 $ 2,207 $ 1,561
Ketchikan Gateway Borough, Alaska $ 393,084 $ 2,206 $ 1,455
Indian River County, Florida $ 392,954 $ 2,205 $ 1,603
Stillwater County, Montana $ 392,625 $ 2,203 $ 1,483
Hall County, Georgia $ 390,933 $ 2,194 $ 1,394
Carbon County, Montana $ 390,644 $ 2,192 $ 1,469
Henrico County, Virginia $ 389,455 $ 2,186 $ 1,495
Warren County, New Jersey $ 388,763 $ 2,182 $ 1,383
Kodiak Island Borough, Alaska $ 387,971 $ 2,177 $ 1,434
Strafford County, New Hampshire $ 387,821 $ 2,176 $ 1,468
New London County, Connecticut $ 387,105 $ 2,172 $ 1,460
Blanco County, Texas $ 387,099 $ 2,172 $ 1,395
Manassas Park city, Virginia $ 386,700 $ 2,170 $ 1,494
Santa Rosa County, Florida $ 386,391 $ 2,168 $ 1,447
Sherburne County, Minnesota $ 386,353 $ 2,168 $ 1,431
Ulster County, New York $ 385,316 $ 2,162 $ 1,330
Livingston County, Michigan $ 384,977 $ 2,160 $ 1,387
Middlesex County, Connecticut $ 384,886 $ 2,160 $ 1,526
Litchfield County, Connecticut $ 382,412 $ 2,146 $ 1,535
Grand Traverse County, Michigan $ 381,354 $ 2,140 $ 1,180
Lincoln County, Oregon $ 381,158 $ 2,139 $ 1,483
Walton County, Georgia $ 380,729 $ 2,137 $ 1,231
Berkeley County, South Carolina $ 380,206 $ 2,134 $ 1,399
Robertson County, Tennessee $ 379,348 $ 2,129 $ 1,323
Park County, Wyoming $ 378,909 $ 2,126 $ 1,439
Ellis County, Texas $ 378,847 $ 2,126 $ 1,296
Clay County, Florida $ 378,815 $ 2,126 $ 1,107
Dorchester County, South Carolina $ 378,667 $ 2,125 $ 1,181
Wallowa County, Oregon $ 378,238 $ 2,123 $ 1,489
Sheridan County, Wyoming $ 377,866 $ 2,121 $ 1,458
Broadwater County, Montana $ 377,289 $ 2,117 $ 1,375
Baltimore County, Maryland $ 377,185 $ 2,117 $ 1,518
Carteret County, North Carolina $ 377,132 $ 2,116 $ 1,206
Lancaster County, South Carolina $ 377,064 $ 2,116 $ 1,211
Lincoln County, South Dakota $ 377,015 $ 2,116 $ 1,261
Suffolk city, Virginia $ 376,802 $ 2,115 $ 1,412
Columbia County, Oregon $ 375,023 $ 2,105 $ 1,497
Sanders County, Montana $ 374,165 $ 2,100 $ 1,454
Juab County, Utah $ 373,532 $ 2,096 $ 1,476
Bedford County, Virginia $ 373,385 $ 2,095 $ 1,068
Platte County, Missouri $ 373,323 $ 2,095 $ 1,376
Kings County, California $ 372,628 $ 2,091 $ 1,438
Montgomery County, Texas $ 372,619 $ 2,091 $ 1,366
Sussex County, New Jersey $ 371,796 $ 2,086 $ 1,436
Boundary County, Idaho $ 371,479 $ 2,085 $ 1,391
Knox County, Tennessee $ 370,866 $ 2,081 $ 1,242
Latah County, Idaho $ 370,346 $ 2,078 $ 1,451
Carroll County, New Hampshire $ 370,326 $ 2,078 $ 1,372
Lincoln County, Wyoming $ 370,043 $ 2,077 $ 1,300
Dawson County, Georgia $ 369,074 $ 2,071 $ 1,342
Madison County, Idaho $ 369,071 $ 2,071 $ 1,360
Oakland County, Michigan $ 368,741 $ 2,069 $ 1,415
Addison County, Vermont $ 368,644 $ 2,069 $ 1,378
Isle of Wight County, Virginia $ 368,448 $ 2,068 $ 1,430
Warren County, Ohio $ 366,996 $ 2,060 $ 1,317
St. Croix County, Wisconsin $ 366,851 $ 2,059 $ 1,262
Washington County, Wisconsin $ 365,901 $ 2,053 $ 1,346
Tarrant County, Texas $ 365,628 $ 2,052 $ 1,333
Northumberland County, Virginia $ 365,230 $ 2,050 $ 1,399
Wright County, Minnesota $ 364,354 $ 2,045 $ 1,435
Benton County, Arkansas $ 363,855 $ 2,042 $ 1,182
New Haven County, Connecticut $ 362,561 $ 2,035 $ 1,437
Kaufman County, Texas $ 362,085 $ 2,032 $ 1,244
Rockingham County, Virginia $ 362,081 $ 2,032 $ 1,233
Mariposa County, California $ 361,589 $ 2,029 $ 1,531
Hamilton County, Tennessee $ 361,252 $ 2,027 $ 1,253
Kern County, California $ 361,090 $ 2,026 $ 1,428
Shelby County, Alabama $ 360,511 $ 2,023 $ 1,254
Delta County, Colorado $ 360,216 $ 2,021 $ 1,369
Madison County, Virginia $ 360,190 $ 2,021 $ 1,364
Lake County, Illinois $ 360,137 $ 2,021 $ 1,518
Walla Walla County, Washington $ 360,131 $ 2,021 $ 1,379
Cecil County, Maryland $ 359,901 $ 2,020 $ 1,449
Grafton County, New Hampshire $ 359,842 $ 2,019 $ 1,212
Brazos County, Texas $ 359,841 $ 2,019 $ 1,291
Paulding County, Georgia $ 359,778 $ 2,019 $ 1,119
Lake County, Florida $ 359,626 $ 2,018 $ 1,293
Pima County, Arizona $ 359,576 $ 2,018 $ 1,360
Trinity County, California $ 359,438 $ 2,017 $ 1,508
Colusa County, California $ 359,080 $ 2,015 $ 1,446
New Castle County, Delaware $ 357,896 $ 2,008 $ 1,380
Iredell County, North Carolina $ 357,634 $ 2,007 $ 1,299
Grant County, Washington $ 356,755 $ 2,002 $ 1,611
Johnson County, Iowa $ 356,386 $ 2,000 $ 1,217
Tulare County, California $ 356,334 $ 2,000 $ 1,443
Lincoln County, North Carolina $ 356,085 $ 1,998 $ 946
Montrose County, Colorado $ 355,519 $ 1,995 $ 1,308
Volusia County, Florida $ 355,212 $ 1,993 $ 1,322
Jefferson County, Oregon $ 354,747 $ 1,991 $ 1,352
Pennington County, South Dakota $ 354,603 $ 1,990 $ 1,232
Dallas County, Iowa $ 354,472 $ 1,989 $ 1,285
Transylvania County, North Carolina $ 354,331 $ 1,988 $ 1,262
Beaverhead County, Montana $ 353,575 $ 1,984 $ 1,196
Watauga County, North Carolina $ 353,340 $ 1,983 $ 1,342
Mathews County, Virginia $ 353,236 $ 1,982 $ 1,354
Custer County, South Dakota $ 352,965 $ 1,981 $ 1,201
Lake County, Colorado $ 352,701 $ 1,979 $ 1,394
Custer County, Colorado $ 352,566 $ 1,979 $ 1,350
Matanuska-Susitna Borough, Alaska $ 352,449 $ 1,978 $ 1,354
Granite County, Montana $ 352,439 $ 1,978 $ 1,460
Wayne County, Utah $ 352,331 $ 1,977 $ 1,333
Grays Harbor County, Washington $ 352,080 $ 1,976 $ 1,427
Duval County, Florida $ 351,879 $ 1,975 $ 1,308
Anoka County, Minnesota $ 351,868 $ 1,975 $ 1,325
Orange County, Virginia $ 351,789 $ 1,974 $ 1,348
Tolland County, Connecticut $ 351,693 $ 1,974 $ 1,381
Saratoga County, New York $ 351,689 $ 1,974 $ 1,371
McKenzie County, North Dakota $ 351,349 $ 1,972 $ 1,319
Washington County, Arkansas $ 351,065 $ 1,970 $ 1,039
Lake County, California $ 350,835 $ 1,969 $ 1,903
Laramie County, Wyoming $ 349,936 $ 1,964 $ 1,252
Greenville County, South Carolina $ 349,368 $ 1,961 $ 1,221
Atlantic County, New Jersey $ 348,893 $ 1,958 $ 1,395
